	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_199	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Neocucurbitaria	NA
ASV_200	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	NA	NA	NA
ASV_201	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Stachylidium	NA
ASV_202	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
ASV_203	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_204	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Neohendersonia	s__kickxii
ASV_205	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Biatriosporaceae	NA	NA
ASV_206	NA	NA	NA	NA	NA	NA	NA
ASV_207	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Plectosphaerella	NA
ASV_208	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Neonectria	s__ditissima
ASV_209	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Rhinocladiella	NA
ASV_210	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_211	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Pseudocosmospora	NA
ASV_212	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
ASV_213	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora	NA
ASV_214	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Neohendersonia	s__kickxii
ASV_215	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Phaeomoniellales	f__Phaeomoniellaceae	g__Phaeomoniella	NA
ASV_216	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Rhinocladiella	NA
ASV_217	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Cadophora	s__melinii
ASV_218	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	NA	NA
ASV_219	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Sporocadaceae	g__Discosia	s__pseudoartocreas
ASV_220	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Myriangiales	f__Elsinoaceae	NA	NA
ASV_221	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	NA	NA
ASV_222	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Hyalorbilia	s__erythrostigma
ASV_223	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
ASV_224	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__chaetospira
ASV_225	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Candelariales	f__Candelariaceae	g__Candelariella	NA
ASV_226	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Coniothyriaceae	g__Coniothyrium	NA
ASV_227	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
